fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Toulouse -- Lorient,0.0663509,0.114695199,0.870226115,0,1.927911997,1,1,4,0,2,1,3,9,0,3,0,0,1,0,1,21/08/2022 13:00,0.115070999,0,1.652036214,1.520190001,0.034289401,1,0,1,2,0,2,0,9,2,1,1,0,0,1,0,2.97918421,3.321586614,2.97918421,1.801396614,2.108958095,0.1493604,2022,Ligue1
Rennes -- Ajaccio,0.061595,0.414300594,0.515736194,0,0,0,2,5,0,0,1,5,10,0,0,0,1,1,0,0,21/08/2022 15:05,0,0.264304003,0.394930989,0.760095,0.0233588,0,1,1,1,0,0,6,2,1,1,0,0,1,0,0,0.991631789,1.442688791,0.991631789,0.682593791,0.475895595,0.287662802,2022,Ligue1
Lille -- Paris Saint Germain,0,0.0200723,1.578950096,0,0.12545,0,0,9,0,0,0,1,14,0,1,0,0,1,0,0,21/08/2022 18:45,0,0.758340769,3.680352442,0,0,0,1,8,0,0,0,3,13,0,0,0,0,7,0,0,1.724472396,4.43869321,1.724472396,4.43869321,0.1455223,0.758340769,2022,Ligue1
Ajaccio -- Lille,0,0.238513304,0.243524939,0,0.0325358,0,1,1,0,0,0,4,7,0,2,0,1,0,0,0,26/08/2022 19:00,0,0,0.977244403,0.760095,0.068180203,0,0,3,0,1,0,0,5,1,1,0,0,2,0,1,0.514574043,1.805519607,0.514574043,1.045424607,0.271049104,0.068180203,2022,Ligue1
Auxerre -- Strasbourg,0,0.015800299,0.754314076,0,0,0,0,3,0,0,0,1,6,0,0,0,0,1,0,0,27/08/2022 15:00,0,0.294645399,1.360641794,0,0,0,0,4,0,0,0,3,11,0,0,0,0,0,0,0,0.770114375,1.655287193,0.770114375,1.655287193,0.015800299,0.294645399,2022,Ligue1
Lens -- Rennes,0,0.176606297,0.986247545,0,0,0,0,4,0,0,0,4,13,0,0,0,0,2,0,0,27/08/2022 19:00,0,0,0.892133893,0,0,0,0,6,0,0,0,0,12,0,0,0,0,1,0,0,1.162853843,0.892133893,1.162853843,0.892133893,0.176606297,0,2022,Ligue1
Nantes -- Toulouse,0,0.105915001,1.697725581,0,0,0,1,7,0,0,0,3,13,0,0,0,0,3,0,0,28/08/2022 11:00,0,0.1020872,0.429330692,0,0,0,1,2,0,0,0,3,6,0,0,0,0,1,0,0,1.803640582,0.531417891,1.803640582,0.531417891,0.105915001,0.1020872,2022,Ligue1
Brest -- Montpellier,0.0484876,0.020396899,0.0471157,0,0.047077199,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,28/08/2022 13:00,0,0.640722279,1.738124888,0,0,0,1,7,0,0,0,3,11,0,0,0,1,6,0,0,0.163077399,2.378847167,0.163077399,2.378847167,0.115961699,0.640722279,2022,Ligue1
Lorient -- Clermont Foot,0.0442212,0.0743022,2.587632901,0.760095,0,1,0,7,1,0,1,2,18,1,0,0,0,1,1,0,28/08/2022 13:00,0,0.033430101,0.399096807,0,0,0,0,2,0,0,0,2,7,0,0,0,0,1,0,0,3.466251302,0.432526909,2.706156301,0.432526909,0.1185234,0.033430101,2022,Ligue1
Nice -- Marseille,0.0724646,0.216093004,0.49304549,0,0.0156187,0,0,2,0,0,1,3,11,0,1,0,0,0,0,0,28/08/2022 13:00,0,0.0720893,1.325783288,0,0.057754401,0,0,4,0,0,0,2,10,0,1,0,0,3,0,0,0.797221794,1.45562699,0.797221794,1.45562699,0.304176304,0.129843702,2022,Ligue1
