fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
West Bromwich Albion -- Chelsea,0.112360999,0.103223401,0.388833997,0.761169016,0.0606305,0,1,4,1,0,1,4,8,1,1,0,0,2,0,0,23/08/2015 16:30,0.0629455,0,1.977418799,0,0.029146999,1,0,4,0,0,1,0,13,0,1,0,0,3,0,0,1.426217914,2.069511298,0.665048897,2.069511298,0.2762149,0.092092499,2015,EPL
Everton -- Manchester City,0.202805698,0.0116117,0.364920404,0,0,0,0,1,0,0,2,1,7,0,0,0,0,0,0,0,23/08/2015 19:00,0,0.142964602,1.444220201,0,0,0,0,9,0,0,0,2,14,0,0,0,0,2,0,0,0.579337802,1.587184803,0.579337802,1.587184803,0.214417398,0.142964602,2015,EPL
Watford -- Southampton,0,0.946470983,0.299360784,0,0.0278157,0,0,0,0,0,0,3,9,0,1,0,0,0,0,0,23/08/2015 19:00,0,0.1811295,0.419266301,0,0.083194697,0,1,3,0,1,0,2,10,0,2,0,0,0,0,0,1.273647467,0.683590499,1.273647467,0.683590499,0.974286683,0.264324198,2015,EPL
Arsenal -- Liverpool,0,0.147676702,1.681181097,0,0.0127512,0,1,4,0,0,0,3,15,0,1,0,0,0,0,0,24/08/2015 23:00,0,0.095671102,1.196389821,0,0,0,1,7,0,0,0,3,12,0,0,0,0,0,0,0,1.841608999,1.292060924,1.841608999,1.292060924,0.160427902,0.095671102,2015,EPL
Newcastle United -- Arsenal,0,0,0.031969398,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29/08/2015 15:45,0.0944761,0.114588197,2.150959348,0,0,1,1,7,0,0,2,3,17,0,0,0,0,0,0,0,0.031969398,2.360023646,0.031969398,2.360023646,0,0.209064297,2015,EPL
Aston Villa -- Sunderland,0,0.0147822,1.436257917,0.761169016,0.061848599,0,0,5,1,0,0,1,18,1,1,0,0,1,1,0,29/08/2015 18:00,0.063522503,0.061542401,0.243782697,0,0,1,0,2,0,0,1,2,4,0,0,1,0,1,0,0,2.274057732,0.368847601,1.512888716,0.368847601,0.076630799,0.125064904,2015,EPL
Bournemouth -- Leicester,0.096918501,0,0.214754105,0,0.0167091,1,0,1,0,0,1,0,3,0,1,0,0,1,0,0,29/08/2015 18:00,0,0,0.157928206,0.761169016,0,0,0,1,1,0,0,0,3,1,0,0,0,0,1,0,0.328381706,0.919097222,0.328381706,0.157928206,0.113627601,0,2015,EPL
Chelsea -- Crystal Palace,0,0.1756832,0.929893608,0,0.181173705,0,0,8,0,0,0,3,19,0,4,0,0,1,0,0,29/08/2015 18:00,0,0.0149881,2.200880749,0,0,0,0,5,0,0,0,1,12,0,0,0,0,2,0,0,1.286750513,2.215868849,1.286750513,2.215868849,0.356856905,0.0149881,2015,EPL
Liverpool -- West Ham,0,0.125991501,0.435744985,0,0,0,0,1,0,0,0,2,11,0,0,0,0,0,0,0,29/08/2015 18:00,0,0.0680054,0.895728111,0,0.0123888,0,0,5,0,0,0,2,9,0,1,0,0,3,0,0,0.561736485,0.976122311,0.561736485,0.976122311,0.125991501,0.0803942,2015,EPL
Manchester City -- Watford,0.171538502,0.047442399,1.275893008,0,0.034077998,0,1,3,0,1,3,1,13,0,1,0,0,1,0,1,29/08/2015 18:00,0.061470799,0.195213102,0.116429742,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,1.528951908,0.373113643,1.528951908,0.373113643,0.253058899,0.256683901,2015,EPL
