fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
GFC Ajaccio -- Angers,0.0,0.04368549957871437,0.34124997770413756,0.0,0.0,0,0,3,0,0,0,1,7,0,0,0,0,0,0,0,2015-08-22 22:00:00,0.055149901658296585,0.0,0.7300091134384274,0.0,0.3716180035844445,0,0,3,0,2,1,0,6,0,2,2015-08-22 22:00:00,0,0,1,0,1,0.38493547728285193,1.1567770186811686,0.38493547728285193,1.1567770186811686,0.04368549957871437,0.4267679052427411,2015,Ligue1
Nantes -- Reims,0.038578100502491,0.0,2.0762866185978055,0.0,0.0,1,0,4,0,0,1,0,11,0,0,0,0,1,0,0,2015-08-22 22:00:00,0.0,0.0,0.39595470018684864,0.0,0.0,0,0,1,0,0,0,0,2,0,0,2015-08-22 22:00:00,0,0,0,0,0,2.1148647191002965,0.39595470018684864,2.1148647191002965,0.39595470018684864,0.038578100502491,0.0,2015,Ligue1
Nice -- Caen,0.0,0.0,1.1982545219361782,0.0,0.01756029948592186,0,0,4,0,0,0,0,6,0,1,0,0,2,0,0,2015-08-22 22:00:00,0.03496420010924339,0.0,0.8386941142380238,0.0,0.07790469657629728,0,0,6,0,0,1,0,9,0,2,2015-08-22 22:00:00,0,0,1,0,0,1.2158148214221,0.9515630109235644,1.2158148214221,0.9515630109235644,0.01756029948592186,0.11286889668554068,2015,Ligue1
SC Bastia -- Guingamp,0.0,0.7799233980476856,0.5030781999230385,0.0,0.0,0,2,3,0,0,0,3,7,0,0,0,2,0,0,0,2015-08-22 22:00:00,0.24384780600667,0.06086469814181328,1.0665788939222693,0.0,0.0,0,1,3,0,0,3,1,12,0,0,2015-08-22 22:00:00,0,0,0,0,0,1.283001597970724,1.3712913980707526,1.283001597970724,1.3712913980707526,0.7799233980476856,0.3047125041484833,2015,Ligue1
Toulouse -- Monaco,0.03170359879732132,0.033668000251054764,0.8144793268293142,0.0,1.136350179091096,1,0,2,0,1,1,1,7,0,3,0,0,0,0,1,2015-08-22 22:00:00,0.0,0.09773780032992363,0.9195939870551229,0.0,0.40981099009513855,0,0,3,0,0,0,3,10,0,1,2015-08-22 22:00:00,0,0,1,0,0,2.0162011049687862,1.427142777480185,2.0162011049687862,1.427142777480185,1.201721778139472,0.5075487904250622,2015,Ligue1
Lille -- Bordeaux,0.06674019992351532,0.879971575923264,0.273971701040864,0.0,0.5802091006189585,1,1,2,0,1,1,5,6,0,4,0,0,0,0,0,2015-08-23 16:00:00,0.0,0.01258120033890009,0.6698178052902222,0.0,0.012856800109148026,0,0,4,0,0,0,1,10,0,1,2015-08-23 16:00:00,0,0,0,0,0,1.8008925775066018,0.6952558057382703,1.8008925775066018,0.6952558057382703,1.5269208764657378,0.025438000448048115,2015,Ligue1
Lorient -- Saint-Etienne,0.03944769874215126,0.0,0.36484129540622234,0.0,0.1479443982243538,0,0,1,0,1,1,0,6,0,3,0,0,0,0,0,2015-08-23 19:00:00,0.18675759807229042,0.0,2.169259966351092,0.0,0.0,2,0,3,0,0,3,0,8,0,0,2015-08-23 19:00:00,0,0,1,0,0,0.5522333923727274,2.3560175644233823,0.5522333923727274,2.3560175644233823,0.18739209696650505,0.18675759807229042,2015,Ligue1
Marseille -- Troyes,0.0,0.2201644964516163,3.081506123766303,0.0,0.0,0,1,6,0,0,0,3,13,0,0,0,1,5,0,0,2015-08-23 23:00:00,0.0,0.0,0.2679750043898821,0.0,0.0,0,0,1,0,0,0,0,6,0,0,2015-08-23 23:00:00,0,0,0,0,0,3.3016706202179193,0.2679750043898821,3.3016706202179193,0.2679750043898821,0.2201644964516163,0.0,2015,Ligue1
Guingamp -- Marseille,0.0,0.17762409895658493,0.8485102094709873,0.7600950002670288,0.0,0,0,4,1,0,0,2,9,1,0,0,0,2,0,0,2015-08-28 22:30:00,0.05323629826307297,0.02888990007340908,0.761427991092205,0.0,0.06713849864900112,1,0,4,0,1,1,1,10,0,2,2015-08-28 22:30:00,0,0,0,0,0,1.786229308694601,0.9106926880776882,1.0261343084275723,0.9106926880776882,0.17762409895658493,0.14926469698548317,2015,Ligue1
Caen -- Lyon,0.13371210172772408,0.1974945031106472,0.3472507372498512,0.0,0.17203600704669952,2,1,1,0,1,3,3,7,0,1,0,0,0,0,0,2015-08-29 19:00:00,0.04232339933514595,0.11842450127005577,0.9338692091405392,0.0,0.0,0,0,5,0,0,1,3,9,0,0,2015-08-29 19:00:00,0,0,4,0,0,0.850493349134922,1.094617109745741,0.850493349134922,1.094617109745741,0.5032426118850708,0.16074790060520172,2015,Ligue1
Angers -- Nice,0.25472789257764816,0.0,0.04965060018002987,0.0,0.0,1,0,1,0,0,3,0,2,0,0,1,0,0,0,0,2015-08-29 22:00:00,0.03755490109324455,0.04270600061863661,0.26142650190740824,0.0,0.5635250210762024,0,0,4,0,1,1,2,8,0,1,2015-08-29 22:00:00,0,0,0,0,1,0.30437849275767803,0.9052124246954918,0.30437849275767803,0.9052124246954918,0.25472789257764816,0.6437859227880836,2015,Ligue1
Lille -- GFC Ajaccio,0.0,0.057247101329267025,0.5427192896604538,0.0,0.15646079555153847,0,0,5,0,0,0,2,9,0,3,0,0,1,0,0,2015-08-29 22:00:00,0.039207398891448975,0.08342410065233707,0.19262400083243847,0.0,0.082686897367239,0,1,4,0,1,1,2,8,0,2,2015-08-29 22:00:00,0,0,0,0,0,0.7564271865412593,0.3979423977434635,0.7564271865412593,0.3979423977434635,0.2137078968808055,0.20531839691102505,2015,Ligue1
Reims -- Lorient,0.05885089933872223,0.010676300153136253,2.3699497785419226,0.0,0.010285199619829655,0,1,7,0,1,1,1,11,0,1,0,1,3,0,0,2015-08-29 22:00:00,0.04006670042872429,0.0,0.3810724001377821,0.0,0.0,0,0,4,0,0,1,0,12,0,0,2015-08-29 22:00:00,0,0,1,0,0,2.4497621776536107,0.4211391005665064,2.4497621776536107,0.4211391005665064,0.07981239911168814,0.04006670042872429,2015,Ligue1
Rennes -- Toulouse,0.0,0.3055741973221302,0.7077379124239087,0.7600950002670288,0.5894989967346191,0,0,2,1,1,0,2,8,1,1,0,0,1,0,1,2015-08-29 22:00:00,0.0,0.02969530038535595,1.3760701641440392,0.0,0.0,0,0,3,0,0,0,1,8,0,0,2015-08-29 22:00:00,0,0,1,0,0,2.362906106747687,1.405765464529395,1.602811106480658,1.405765464529395,0.8950731940567493,0.02969530038535595,2015,Ligue1
Troyes -- Montpellier,0.0507533997297287,0.0,0.8028487116098404,0.0,0.0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,2015-08-29 22:00:00,0.0,0.11961940303444862,0.5165236005559564,0.0,0.1324954004958272,0,1,3,0,0,0,2,6,0,5,2015-08-29 22:00:00,0,0,0,0,0,0.8536021113395691,0.7686384040862322,0.8536021113395691,0.7686384040862322,0.0507533997297287,0.2521148035302758,2015,Ligue1
Saint-Etienne -- SC Bastia,0.0,0.7514694854617119,1.1270088087767363,0.0,0.0,0,1,5,0,0,0,4,19,0,0,0,1,1,0,0,2015-08-30 16:00:00,0.0,0.0,0.5340823866426945,0.0,0.07364120334386826,0,0,1,0,0,0,0,5,0,1,2015-08-30 16:00:00,0,0,1,0,0,1.8784782942384481,0.6077235899865627,1.8784782942384481,0.6077235899865627,0.7514694854617119,0.07364120334386826,2015,Ligue1
Bordeaux -- Nantes,0.0,1.2395792827010155,1.021298909559846,0.7600950002670288,0.012364599853754044,0,1,2,1,0,0,4,13,1,1,0,0,2,0,0,2015-08-30 19:00:00,0.0,0.0947629977017641,0.16182625759392977,0.0,0.10226809978485107,0,0,0,0,1,0,2,6,0,2,2015-08-30 19:00:00,0,0,0,0,0,3.0333377923816442,0.35885735508054495,2.2732427921146154,0.35885735508054495,1.2519438825547695,0.19703109748661518,2015,Ligue1
