fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
SPAL 2013 -- Lazio,0,0.053523701,0.520208699,0,0.53598401,0,1,2,0,0,0,1,14,0,2,0,1,1,0,0,15/09/2019 13:00,0.071909003,0.0438716,0.583163006,0.761299014,0,0,1,3,1,0,1,1,9,1,0,0,0,0,1,0,1.109716409,1.460242623,1.109716409,0.698943609,0.58950771,0.115780603,2019,SerieA
Roma -- Sassuolo,0,0.137473002,2.822875572,0,0,0,1,5,0,0,0,1,14,0,0,0,1,3,0,0,15/09/2019 16:00,0.093671497,0,0.711073891,0,0.0452247,1,0,2,0,0,2,0,9,0,1,1,0,1,0,0,2.960348574,0.849970088,2.960348574,0.849970088,0.137473002,0.138896197,2019,SerieA
Verona -- AC Milan,0.175907001,0.021133101,0.251405807,0,0.020470399,0,0,1,0,0,1,1,5,0,1,0,0,0,0,0,15/09/2019 18:45,0.062288702,0,0.649342297,0.761259019,0,1,0,2,1,0,1,0,15,1,0,0,0,0,1,0,0.468916308,1.472890018,0.468916308,0.711630998,0.217510501,0.062288702,2019,SerieA
Torino -- Lecce,0,0.292166108,0.510566608,0.761299014,0,0,0,3,1,0,0,4,10,1,0,0,0,0,1,0,16/09/2019 18:45,0,0.0412334,1.226036513,0,0,0,0,5,0,0,0,2,17,0,0,0,0,2,0,0,1.56403173,1.267269913,0.802732716,1.267269913,0.292166108,0.0412334,2019,SerieA
Cagliari -- Genoa,0,0.198690097,1.053585092,0,0,0,0,4,0,0,0,2,11,0,0,0,0,2,0,0,20/09/2019 18:45,0.067565799,0.432355996,1.11468921,0,0,0,0,2,0,0,1,2,9,0,0,0,0,1,0,0,1.252275188,1.614611005,1.252275188,1.614611005,0.198690097,0.499921795,2019,SerieA
Udinese -- Brescia,0.111439601,0.0208568,0.372909098,0,0,1,0,2,0,0,2,1,7,0,0,0,0,0,0,0,21/09/2019 13:00,0,0.031139999,0.779708405,0,0,0,1,3,0,0,0,2,7,0,0,0,0,1,0,0,0.505205498,0.810848404,0.505205498,0.810848404,0.1322964,0.031139999,2019,SerieA
Juventus -- Verona,0.157260999,0,0.923522091,0.761299014,0.0216353,0,0,2,1,0,1,0,18,1,1,0,0,1,1,0,21/09/2019 16:00,0,0,0.452029099,0.761299014,0.836747006,0,0,3,0,0,0,0,7,1,2,0,0,1,0,0,1.863717403,2.050075118,1.102418389,1.288776104,0.178896299,0.836747006,2019,SerieA
AC Milan -- Inter,0.042072099,0,1.049371328,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,21/09/2019 18:45,0,0.041700399,2.694134515,0,0.0448219,0,1,5,0,1,0,2,12,0,2,0,0,1,0,1,1.091443427,2.780656815,1.091443427,2.780656815,0.042072099,0.0865223,2019,SerieA
Sassuolo -- SPAL 2013,0.047389001,0.467244012,1.498891907,0,0,0,0,6,0,0,1,2,17,0,0,0,0,3,0,0,22/09/2019 10:30,0.087588303,0.0334605,0.792962419,0,0.00930997,0,0,3,0,0,2,2,8,0,1,0,0,0,0,0,2.01352492,0.923321191,2.01352492,0.923321191,0.514633013,0.130358772,2019,SerieA
Bologna -- Roma,0.0805865,0,0.503246907,0.761299014,0,0,0,2,1,0,1,0,4,1,0,0,0,0,1,0,22/09/2019 13:00,0.205712397,0.032746799,1.21666432,0,0,1,0,3,0,0,2,2,14,0,0,1,0,1,0,0,1.345132422,1.455123516,0.583833408,1.455123516,0.0805865,0.238459196,2019,SerieA
